Expenses,Amount Spent
User Id : 624,
Amazon Order - Paint Bushes,-4124.0195
Refrigerator Depot,33.21
Guitar Center,-4390.921
Michael's Crafts,-3832.679
Ralph's Grocery Store,-1266.2601
Food Delivery - GrubHub,-1746.67
Art's Art Supplies,-4582.7
Music Lessons - Piano,-4040.4497
Mark's Movers,20.51
Restaurant - Steakhouse,-999.9899
Public Transportation - Train Pass,-3335.0698
Hamilton Move & Storage,1.48
Whole Foods,-1408.97
Starbucks Coffee,-1136.4098
Water & Sewer,-954.0
Restaurant - Burgers,-1049.9
Taxi,-2354.31
FedEx Shipping,9.54
Restaurant - Chinese,-948.6298
Lyft,-1892.63
Amazon Order - Baby Crib,19.64
Home Depot,25.14
Ashley's Craft Store,-3924.491
Navient - Student Loans,-3546.0
BuyBuyBaby.com,69.09
Amazon Order - Paint Canvas,-4917.6797
Gas & Electric,-576.0
Public Transportation - Bus Pass,-2843.7297
ACS - Student Loans,-2430.0
Restaurant - Pizza,-1360.9701
Sprouts Market,-1294.17
Babies "R" Us,18.54
Wedding Planner,19.85
Uber,-2989.9592
Jerome's Furniture,7.18
Time Warner Cable,-450.0
Southwest Flights - Cancun,112.14
Art Auction,-4416.4585
Paycheck,48500.0
Housing Rent,-18747.0
Kay Jewelry,69.87
Painting Course Fees,-4228.019
Netflix Subscription,-89.81998
Von's Groceries,-1325.7397
Hospital - Prenatal Care,14.65
Cancun Beach Resort,22.88

User Id : 63891,
Ralph's Grocery Store,-1266.6902
Comfort Inn,8.25
Starbucks Coffee,-1320.7002
Water & Sewer,-954.0
Taxi,-2299.39
FedEx Shipping,19.92
Lyft,-2323.7998
Amazon Order - Baby Crib,34.93
Home Depot,41.56
Divorce Lawyer Fees,17.23
Bowling,-3435.0903
Public Transportation - Bus Pass,-2548.2502
John's Bar & Restaurant,-3167.5803
Sprouts Market,-1668.1296
Restaurant - Pizza,-996.15
Babies "R" Us,39.54
Wedding Planner,20.87
Uber,-2594.6804
Wine Bar,-3268.78
Time Warner Cable,-450.0
Southwest Flights - Cancun,23.98
Concert Ticket,-2648.0208
Housing Rent,-18590.0
Kay Jewelry,2.63
Paycheck,3842.0
Hospital - Prenatal Care,16.89
Seaside Bar,-3640.7502
Karaoke Bar,-2442.94
Refrigerator Depot,116.25
Food Delivery - GrubHub,-1147.0399
Mark's Movers,24.32
Restaurant - Steakhouse,-1259.3903
Rodriguez's Bar and Grill,-3459.421
Public Transportation - Train Pass,-3284.4902
Movie Ticket,-4042.0103
Hamilton Move & Storage,37.4
Whole Foods,-1075.2
Restaurant - Burgers,-1495.0898
Restaurant - Chinese,-1886.6102
Ice Skating Rink,-2417.2803
Fisker Night Club,-2689.5596
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,29.6
Gas & Electric,-576.0
Best Western Hotel,33.84
Green Flash Brewery,-3701.76
ACS - Student Loans,-2430.0
Jerome's Furniture,12.21
Owl Night Club,-3532.1394
Netflix Subscription,-89.81998
Von's Groceries,-1392.65
Cancun Beach Resort,6.61

User Id : 89593,
Ralph's Grocery Store,-1196.4999
Comfort Inn,29.14
Starbucks Coffee,-1072.7198
Taxi,-1670.7197
FedEx Shipping,100.91
Lyft,-2261.15
Amazon Order - Baby Crib,72.61
Home Depot,112.03
Divorce Lawyer Fees,2.43
Bowling,-2966.6199
Public Transportation - Bus Pass,-2755.9294
John's Bar & Restaurant,-3594.1694
Restaurant - Pizza,-1221.36
Sprouts Market,-1304.6698
Babies "R" Us,30.56
Wedding Planner,22.13
Uber,-2098.22
Wine Bar,-3088.0398
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.9
Concert Ticket,-3100.7708
Paycheck,50540.0
Housing Rent,-17992.0
Kay Jewelry,28.65
Hospital - Prenatal Care,37.48
Seaside Bar,-2528.3604
Karaoke Bar,-2888.2805
Refrigerator Depot,9.67
Food Delivery - GrubHub,-1443.3202
Mark's Movers,25.44
Restaurant - Steakhouse,-919.7598
Rodriguez's Bar and Grill,-2605.2192
Public Transportation - Train Pass,-2652.9294
Movie Ticket,-3240.3706
Hamilton Move & Storage,58.33
Whole Foods,-1273.07
Restaurant - Burgers,-1638.9702
Restaurant - Chinese,-1363.0999
Ice Skating Rink,-2739.0205
Fisker Night Club,-3173.7402
Credit Card Payment,-2772.0
BuyBuyBaby.com,34.62
Gas & Electric,-576.0
Best Western Hotel,1.22
Green Flash Brewery,-3746.809
ACS - Student Loans,-2430.0
Jerome's Furniture,100.6
Owl Night Club,-3518.9905
Netflix Subscription,-89.81998
Von's Groceries,-856.8
Cancun Beach Resort,28.23

User Id : 99842,
Amazon Order - Paint Bushes,-4430.581
Guitar Center,-3850.1392
Ralph's Grocery Store,-1281.7701
Music Lessons - Piano,-3747.0598
Starbucks Coffee,-1167.36
Water & Sewer,-954.0
Taxi,-2034.26
Lyft,-2046.6003
Amazon Order - Baby Crib,32.24
